	-12.55	0.04
ypr	-86.41	-5.53	48.82
ypr	-85.90	-5.81	52.20
ypr	-85.27	-5.97	55.28
ypr	-84.57	-5.99	57.96
ypr	-83.92	-5.88	60.33
ypr	-83.48	-5.80	62.29
ypr	-83.26	-5.73	63.15
ypr	-83.48	-5.65	62.71
ypr	-84.02	-5.55	61.49
ypr	-84.36	-5.42	59.51
ypr	-84.42	-5.31	57.27
ypr	-84.19	-5.21	55.04
ypr	-83.62	-5.10	52.22
FIFO overflow!
ypr	-92.56	0.10	-11.43
ypr	-92.53	0.03	-11.20
ypr	-92.46	-0.02	-10.72
ypr	-92.33	-0.02	-10.14
ypr	-92.18	-0.01	-9.57
ypr	-91.97	-0.04	-9.01
ypr	-91.71	-0.13	-8.44
ypr	-91.43	-0.30	-7.83
ypr	-91.24	-0.60	-7.32
ypr	-91.18	-0.89	-7.11
ypr	-91.21	-1.13	-7.20
ypr	-91.22	-1.35	-7.45
ypr	-91.26	-1.53	-7.91
ypr	-91.28	-1.67	-8.38
ypr	-91.30	-1.78	-9.04
ypr	-91.42	-1.92	-10.07
ypr	-91.69	-2.12	-11.51
ypr	-91.97	-2.31	-12.92
ypr	-92.22	-2.47	-14.26
ypr	-92.51	-2.59	-15.78
FIFO overflow!
ypr	-86.42	-6.75	45.60
ypr	-86.38	-6.45	45.89
ypr	-86.48	-6.09	45.51
ypr	-86.60	-5.50	43.76
ypr	-86.68	-4.41	39.61
ypr	-87.02	-2.96	33.14
ypr	-87.79	-1.59	25.28
ypr	-88.63	-0.37	17.44
ypr	-89.16	0.61	11.60
ypr	-89.26	1.09	8.30
ypr	-89.26	1.59	5.60
ypr	-89.55	2.21	2.10
ypr	-90.16	2.93	-2.60
ypr	-90.91	3.51	-8.01
ypr	-91.65	3.96	-12.99
ypr	-92.32	4.45	-16.80
ypr	-92.74	4.63	-19.12
ypr	-92.99	4.73	-20.45
ypr	-93.49	4.83	-21.81
ypr	-94.53	5.00	-24.43
ypr	-96.14	5.30	-28.15
ypr	-97.82	5.36	-31.63
FIFO overflow!
ypr	-89.34	-1.39	14.29
ypr	-89.23	-1.90	17.33
ypr	-89.15	-2.27	20.03
ypr	-89.05	-2.58	22.51
ypr	-88.88	-2.86	25.14
ypr	-88.76	-3.18	27.87
ypr	-88.77	-3.44	30.28
ypr	-88.85	-3.67	32.28
ypr	-88.65	-3.85	34.18
ypr	-88.29	-4.07	36.18
ypr	-87.82	-4.24	38.31
ypr	-87.40	-4.25	40.22
ypr	-87.06	-4.13	41.89
ypr	-86.84	-4.04	43.61
ypr	-86.71	-3.97	45.39
ypr	-86.75	-3.86	47.08
ypr	-86.71	-3.67	48.33
ypr	-86.57	-3.50	49.13
ypr	-86.44	-3.34	49.55
ypr	-86.40	-3.14	49.52
ypr	-86.50	-2.90	48.89
FIFO overflow!
ypr	-90.45	1.58	6.93
ypr	-90.21	1.55	7.14
ypr	-89.95	1.55	7.51
ypr	-89.81	1.70	7.34
